"","Mail","Gifts","CnGf_1_Amount","TestGroup1","Gender","St","Type","Class","Left","Middle","Right","Largest","Last","LGDate","FY13","FY14","Class1","FY1314","log13","log14","logLast","newdate","TG","TestGroup1B","TestGroup1C","TestGroup1D","Baselinell"
"59",1,1,50,"C",2,0,0,1974,150,125,100,9,50,101,100,100,41,10000,4.61512051684126,4.61512051684126,3.93182563272433,16592,"C",0,1,0,-1.09362474715707
"60",0,0,0,"C",2,0,0,1982,150,125,100,9,100,431,0,0,33,0,0,0,4.61512051684126,16262,"C",0,1,0,-0.407968238326283
"61",0,0,0,"D",2,0,1,1952,150,100,50,9,100,2,100,100,63,10000,4.61512051684126,4.61512051684126,4.61512051684126,16691,"D",0,0,1,-0.407968238326283
"62",0,1,25,"B",1,0,1,2000,75,50,25,39,25,394,50,50,15,2500,3.93182563272433,3.93182563272433,3.25809653802148,16299,"B",1,0,0,-1.09362474715707
"63",1,1,25,"A",2,0,0,1969,150,100,50,46,25,21,25,25,46,625,3.25809653802148,3.25809653802148,3.25809653802148,16672,"A",0,0,0,-1.09362474715707
"64",0,0,0,"C",1,1,1,1970,75,50,25,39,10,240,10,0,45,0,2.39789527279837,0,2.39789527279837,16453,"C",0,1,0,-0.407968238326283
"65",0,1,100,"B",2,1,1,1996,2500,1500,500,2,250,433,150,250,19,37500,5.01727983681492,5.52545293913178,5.52545293913178,16260,"B",1,0,0,-1.09362474715707
"66",0,0,0,"C",1,0,1,1971,200,150,125,16,125,312,125,0,44,0,4.83628190695148,0,4.83628190695148,16381,"C",0,1,0,-0.407968238326283
"67",0,0,0,"C",2,0,0,1966,175,150,125,13,100,433,105,100,49,10500,4.66343909411207,4.61512051684126,4.61512051684126,16260,"C",0,1,0,-0.407968238326283
"68",0,0,0,"B",2,0,0,1967,100,75,50,46,30,443,25,30,48,750,3.25809653802148,3.43398720448515,3.43398720448515,16250,"B",1,0,0,-0.407968238326283
"69",0,0,0,"B",2,0,1,1999,150,100,50,61,50,62,0,100,16,0,0,4.61512051684126,3.93182563272433,16631,"B",1,0,0,-0.407968238326283
"70",0,0,0,"D",2,0,0,1962,50,25,10,39,25,84,25,25,53,625,3.25809653802148,3.25809653802148,3.25809653802148,16609,"D",0,0,1,-0.407968238326283
"71",0,1,100,"C",2,0,1,2001,800,600,500,62,250,232,250,0,14,0,5.52545293913178,0,5.52545293913178,16461,"C",0,1,0,-1.09362474715707
"72",0,1,100,"A",2,1,0,2001,800,500,250,40,100,288,250,100,14,25000,5.52545293913178,4.61512051684126,4.61512051684126,16405,"A",0,0,0,-1.09362474715707
"73",0,0,0,"D",1,0,1,1970,800,500,250,62,500,509,0,500,45,0,0,6.21660610108486,6.21660610108486,16184,"D",0,0,1,-0.407968238326283
"74",0,1,100,"D",2,0,1,1986,150,100,50,9,100,146,100,0,29,0,4.61512051684126,0,4.61512051684126,16547,"D",0,0,1,-1.09362474715707
"75",0,1,25,"A",2,1,1,1977,150,100,50,61,25,329,25,25,38,625,3.25809653802148,3.25809653802148,3.25809653802148,16364,"A",0,0,0,-1.09362474715707
"76",0,0,0,"A",2,1,1,1984,150,100,50,61,50,371,0,50,31,0,0,3.93182563272433,3.93182563272433,16322,"A",0,0,0,-0.407968238326283
"77",1,1,50,"B",2,0,1,1983,100,75,50,50,30,537,30,30,32,900,3.43398720448515,3.43398720448515,3.43398720448515,16156,"B",1,0,0,-1.09362474715707
"78",0,0,0,"A",2,0,0,1954,900,600,300,47,150,309,500,250,61,125000,6.21660610108486,5.52545293913178,5.01727983681492,16384,"A",0,0,0,-0.407968238326283
"79",0,0,0,"A",2,1,1,1999,150,100,50,46,25,280,25,0,16,0,3.25809653802148,0,3.25809653802148,16413,"A",0,0,0,-0.407968238326283
"80",0,0,0,"A",2,0,1,1973,150,100,50,61,50,47,50,50,42,2500,3.93182563272433,3.93182563272433,3.93182563272433,16646,"A",0,0,0,-0.407968238326283
"81",0,1,100,"B",2,0,0,1977,300,200,100,9,100,106,100,100,38,10000,4.61512051684126,4.61512051684126,4.61512051684126,16587,"B",1,0,0,-1.09362474715707
"82",0,1,250,"A",2,0,0,1972,450,300,150,22,50,355,100,50,43,5000,4.61512051684126,3.93182563272433,3.93182563272433,16338,"A",0,0,0,-1.09362474715707
"83",1,1,50,"A",2,0,0,1986,300,200,100,9,50,255,50,50,29,2500,3.93182563272433,3.93182563272433,3.93182563272433,16438,"A",0,0,0,-1.09362474715707
"84",1,1,50,"B",2,0,1,1992,300,200,100,9,50,205,50,50,23,2500,3.93182563272433,3.93182563272433,3.93182563272433,16488,"B",1,0,0,-1.09362474715707
"85",0,0,0,"B",1,0,0,1969,375,250,125,16,40,202,0,40,46,0,0,3.71357206670431,3.71357206670431,16491,"B",1,0,0,-0.407968238326283
"86",0,0,0,"C",2,0,1,1998,150,125,100,84,50,323,50,0,17,0,3.93182563272433,0,3.93182563272433,16370,"C",0,1,0,-0.407968238326283
"87",1,1,100,"B",2,0,0,1977,300,200,100,9,100,154,50,100,38,5000,3.93182563272433,4.61512051684126,4.61512051684126,16539,"B",1,0,0,-1.09362474715707
"88",1,1,100,"D",2,0,1,1985,150,100,50,9,100,135,100,100,30,10000,4.61512051684126,4.61512051684126,4.61512051684126,16558,"D",0,0,1,-1.09362474715707
